#AVAILABLE,CITY,TYPE,RENT,BEDS,BATHS,PETS,SQ. FT.
"Now","SANFRANCISCO","Townhouse","$3150","3","2.00","PetOK","1241"
"Now","SANFRANCISCO","Apartment","$3152","2","2.00","PetOK","705"
"Now","SANFRANCISCO","Apartment","$3157","2","2.00","DogOK","925"
"Now","SANFRANCISCO","Apartment","$3160","2","2.00","NoPets",""
"Now","SANFRANCISCO","Condo","$3160","2","2.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$3164","1","1.00","Call","740"
"Now","SANFRANCISCO","Apartment","$3165","1","1.00","PetOK","798"
"Now","SANFRANCISCO","Apartment","$3165","1","1.00","PetOK","798"
"Now","SANFRANCISCO","Apartment","$3170","1","1.00","PetOK","762"
"Now","SANFRANCISCO","Apartment","$3175","1","1.00","PetOK","825"
"Now","SANFRANCISCO","Apartment","$3175","2","1.00","PetOK","814"
"Now","SANFRANCISCO","Apartment","$3175","1","1.00","PetOK","825"
"Now","SANFRANCISCO","Apartment","$3190","1","1.00","PetOK","840"
"Now","SANFRANCISCO","Loft","$3200","1","1.50","NoPets",""
"Now","SANFRANCISCO","Apartment","$3200","2","2.00","PetOK","1098"
"Now","SANFRANCISCO","Townhouse","$3200","3","2.50","PetOK","1393"
"Now","SANFRANCISCO","Condo","$3200","1","2.00","NoPets","1100"
"Now","SANFRANCISCO","Apartment","$3200","2","2.00","NoPets","3200"
"Now","SANFRANCISCO","House","$3200","2","1.00","PetOK",""
